,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
189,804,Clouds,overcast clouds,04d,stations,10000,1719041748,19800,Gorakhpur,200,83.3806,26.7354,38.93,43.2,38.93,38.93,997,35,997,989,2.58,95,1.69,87,IN,1719012831,1719062584,0,0,2024-06-22 07:35:48
190,801,Clouds,few clouds,02d,stations,10000,1719041219,19800,Hapur,200,77.7796,28.7327,41.58,42.93,41.58,41.58,997,23,997,974,2.23,283,2.54,13,IN,1719013897,1719064207,0,0,2024-06-22 07:26:59
191,801,Clouds,few clouds,02d,stations,10000,1719041748,19800,Hathras,200,78.0138,27.5927,42.23,44.04,42.23,42.23,996,23,996,977,2.53,305,1.72,23,IN,1719014001,1719063990,0,0,2024-06-22 07:35:48
192,803,Clouds,broken clouds,04d,stations,10000,1719041748,19800,Jhansi,200,78.5799,25.4589,37.57,40.82,37.57,37.57,998,36,998,971,1.88,286,2.59,82,IN,1719014155,1719063564,0,0,2024-06-22 07:35:48
193,721,Haze,haze,50d,stations,5000,1719041633,19800,Lucknow,200,80.9231,26.8393,36.99,43.99,36.99,36.99,998,53,0,0,4.12,100,0.0,40,IN,1719013406,1719063188,1,9176,2024-06-22 07:33:53
194,800,Clear,clear sky,01d,stations,10000,1719041749,19800,Mathura,200,77.6721,27.5035,41.83,43.81,41.83,41.83,996,24,996,977,1.93,297,1.46,1,IN,1719014095,1719064060,0,0,2024-06-22 07:35:49
195,800,Clear,clear sky,01d,stations,10000,1719041749,19800,Meerut,200,77.7064,28.98,42.21,42.66,42.21,42.21,996,20,996,972,3.04,256,2.92,10,IN,1719013879,1719064260,0,0,2024-06-22 07:35:49
196,802,Clouds,scattered clouds,03d,stations,10000,1719041749,19800,Mirzapur,200,82.5653,25.1449,38.95,40.04,38.95,38.95,996,27,996,986,1.26,102,2.23,31,IN,1719013240,1719062566,1,9138,2024-06-22 07:35:49
197,801,Clouds,few clouds,02d,stations,10000,1719041356,19800,Moradabad,200,78.7782,28.8375,41.06,42.48,41.06,41.06,997,24,997,975,2.9,248,3.03,12,IN,1719013642,1719063982,0,0,2024-06-22 07:29:16
198,803,Clouds,broken clouds,04d,stations,10000,1719041184,19800,Muzaffarnagar,200,77.6962,29.4662,41.52,42.0,41.52,41.52,997,21,997,971,3.22,250,2.84,73,IN,1719013811,1719064332,0,0,2024-06-22 07:26:24
199,801,Clouds,few clouds,02d,stations,10000,1719041750,19800,Pilibhit,200,79.8044,28.6312,43.81,44.71,43.81,43.81,995,19,995,975,3.63,226,2.61,18,IN,1719013425,1719063706,0,0,2024-06-22 07:35:50
200,803,Clouds,broken clouds,04d,stations,10000,1719041750,19800,Saharanpur,200,77.5452,29.9679,41.22,41.92,41.22,41.22,996,22,996,967,4.36,266,2.67,82,IN,1719013775,1719064441,0,0,2024-06-22 07:35:50
201,804,Clouds,overcast clouds,04d,stations,10000,1719041750,19800,Khairabad,200,80.7509,27.5988,41.73,43.63,41.73,41.73,995,24,995,980,2.06,120,2.07,93,IN,1719013343,1719063334,0,0,2024-06-22 07:35:50
202,802,Clouds,scattered clouds,03d,stations,10000,1719041751,19800,Shahjahanpur,200,79.8793,27.8741,43.7,45.04,43.7,43.7,995,20,995,979,2.02,312,1.55,26,IN,1719013514,1719063582,0,0,2024-06-22 07:35:51
203,801,Clouds,few clouds,02d,stations,10000,1719041751,19800,Etawah,200,79.0149,26.7582,43.46,45.16,43.46,43.46,996,21,996,982,1.43,297,2.07,24,IN,1719013875,1719063635,0,0,2024-06-22 07:35:51
204,803,Clouds,broken clouds,04d,stations,10000,1719041751,19800,Varanasi,200,83.0058,25.3177,39.01,41.26,39.01,39.01,996,30,996,987,3.76,75,2.6,53,IN,1719013111,1719062483,1,9138,2024-06-22 07:35:51
205,804,Clouds,overcast clouds,04d,stations,10000,1719041752,19800,Dehra Dun,200,78.0339,30.3244,32.27,30.6,32.27,32.27,998,25,998,929,3.88,232,2.56,93,IN,1719013605,1719064377,1,9162,2024-06-22 07:35:52
206,803,Clouds,broken clouds,04d,stations,10000,1719041752,19800,Koch Bihar,200,89.5229,26.4835,33.87,40.87,33.87,33.87,999,61,999,993,2.14,145,1.88,57,IN,1719011390,1719061075,0,0,2024-06-22 07:35:52
207,803,Clouds,broken clouds,04d,stations,10000,1719041752,19800,Jaykaynagar,200,86.9833,23.6833,34.82,35.54,34.82,34.82,997,35,997,984,3.79,116,3.74,75,IN,1719012370,1719061315,1,9144,2024-06-22 07:35:52
208,802,Clouds,scattered clouds,03d,stations,10000,1719041753,19800,Barddhaman,200,87.8569,23.2557,38.16,43.33,38.16,38.16,997,39,997,993,4.4,159,3.5,44,IN,1719012215,1719061051,0,0,2024-06-22 07:35:53
209,802,Clouds,scattered clouds,03d,stations,10000,1719041753,19800,Bhatpara,200,88.4011,22.8664,31.94,33.57,31.94,31.94,998,47,998,996,3.25,164,3.31,32,IN,1719012134,1719060870,1,9114,2024-06-22 07:35:53
210,804,Clouds,overcast clouds,04d,stations,10000,1719041753,19800,Haldia,200,88.0583,22.0253,33.42,38.11,33.42,33.42,999,53,999,998,6.32,180,5.92,87,IN,1719012322,1719060847,0,0,2024-06-22 07:35:53
211,721,Haze,haze,50d,stations,4000,1719041754,19800,Howrah,200,88.3186,22.5769,31.97,38.97,31.97,31.97,1000,70,0,0,2.06,150,0.0,75,IN,1719012190,1719060854,1,9114,2024-06-22 07:35:54
212,721,Haze,haze,50d,stations,3500,1719041364,19800,Kolkata,200,88.3575,22.5637,31.96,38.96,31.96,31.96,1000,70,0,0,2.06,120,0.0,75,IN,1719012183,1719060843,1,9114,2024-06-22 07:29:24
213,802,Clouds,scattered clouds,03d,stations,10000,1719041754,19800,Krishnanagar,200,88.4907,23.4058,37.52,42.78,37.52,37.52,998,41,998,996,3.81,147,2.99,49,IN,1719012044,1719060918,0,0,2024-06-22 07:35:54
214,802,Clouds,scattered clouds,03d,stations,10000,1719041754,19800,Siliguri,200,88.4285,26.71,34.0,41.0,34.0,34.0,999,59,999,986,1.96,112,2.08,44,IN,1719011622,1719061369,0,0,2024-06-22 07:35:54
