,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
192,804,Clouds,overcast clouds,04d,stations,10000,1723281457,19800,Ghaziabad,200,77.4391,28.6654,30.08,34.06,30.08,30.08,1000,65,1000,976,3.37,119,3.23,91,IN,1723249007,1723296870,1,9165,2024-08-10 09:17:37
193,804,Clouds,overcast clouds,04d,stations,10000,1723281457,19800,Gorakhpur,200,83.3806,26.7354,33.55,40.55,33.55,33.55,1000,60,1000,992,3.15,91,2.87,92,IN,1723247751,1723295275,0,0,2024-08-10 09:17:37
194,804,Clouds,overcast clouds,04d,stations,10000,1723281457,19800,Hapur,200,77.7807,28.7298,31.05,38.04,31.05,31.05,1000,71,1000,976,4.78,135,5.53,100,IN,1723248920,1723296794,0,0,2024-08-10 09:17:37
195,500,Rain,light rain,10d,stations,10000,1723281457,19800,Hathras,200,78.0138,27.5927,31.31,38.13,31.31,31.31,1000,69,1000,980,2.71,234,4.38,100,IN,1723248965,1723296637,0,0,2024-08-10 09:17:37
196,804,Clouds,overcast clouds,04d,stations,10000,1723281457,19800,Jhansi,200,78.5799,25.4589,30.55,36.97,30.55,30.55,1002,72,1002,974,3.72,269,4.59,100,IN,1723249013,1723296317,0,0,2024-08-10 09:17:37
197,701,Mist,mist,50d,stations,4000,1723281457,19800,Lucknow,200,80.9231,26.8393,27.99,33.54,27.99,27.99,1001,89,1001,987,2.06,80,0.0,75,IN,1723248332,1723295873,1,9176,2024-08-10 09:17:37
198,502,Rain,heavy intensity rain,10d,stations,4000,1723281457,19800,Lucknow,200,80.9231,26.8393,27.99,33.54,27.99,27.99,1001,89,1001,987,2.06,80,0.0,75,IN,1723248332,1723295873,1,9176,2024-08-10 09:17:37
199,804,Clouds,overcast clouds,04d,stations,10000,1723281457,19800,Mathura,200,77.6721,27.5035,32.24,39.24,32.24,32.24,1000,65,1000,980,5.53,246,5.48,100,IN,1723249055,1723296711,0,0,2024-08-10 09:17:37
200,804,Clouds,overcast clouds,04d,stations,10000,1723281457,19800,Meerut,200,77.7064,28.98,31.17,38.17,31.17,31.17,1000,72,1000,975,4.79,129,5.6,99,IN,1723248915,1723296835,0,0,2024-08-10 09:17:37
201,500,Rain,light rain,10d,stations,10000,1723281458,19800,Mirzapur,200,82.5653,25.1449,30.95,34.74,30.95,30.95,1001,60,1001,991,2.74,283,3.12,100,IN,1723248083,1723295335,1,9138,2024-08-10 09:17:38
202,804,Clouds,overcast clouds,04d,stations,10000,1723281458,19800,Moradabad,200,78.7768,28.8389,30.43,36.93,30.43,30.43,1001,73,1001,978,4.24,143,5.95,100,IN,1723248671,1723296565,0,0,2024-08-10 09:17:38
203,803,Clouds,broken clouds,04d,stations,10000,1723281458,19800,Muzaffarnagar,200,77.7033,29.4709,31.71,38.71,31.71,31.71,1001,68,1001,973,5.6,137,6.48,68,IN,1723248871,1723296880,0,0,2024-08-10 09:17:38
204,804,Clouds,overcast clouds,04d,stations,10000,1723281458,19800,Pilibhit,200,79.8044,28.6312,31.26,38.26,31.26,31.26,1001,71,1001,980,3.75,145,4.44,97,IN,1723248443,1723296300,0,0,2024-08-10 09:17:38
